FP_tree_size: 4237 in 0.004
Main window of size:500 in 1.431s, closed itemset:1819, # CET nodes:1152838
  #   sec     CI- CET_nodes  # call  +nodes  -nodes    CI+
  1 0.029    1806   1156320       3    4027     545   1822
  2 0.019    1806   1157816       1    1511      15   1808
  3 0.015    1807   1159608       2    1850      58   1809
  4 0.017    1805   1158686       3    3200    4122   1811
  5 0.033    1812   1162750       5    4064       0   1812
  6 0.002    1807   1160147       0       0    2603   1812
  7 0.002    1803   1156437       2     434    4144   1809
  8 0.012    1804   1154932       2     543    2048   1805
  9 0.035    1813   1167974      11   17309    4267   1817
 10 0.001    1811   1165614       0       0    2360   1813
 11 0.026    1812   1166353       4    5213    4474   1815
 12 0.006    1807   1156686       1    1366   11033   1814
 13 0.045    1814   1171690       9   15296     292   1816
 14 0.005    1816   1170833       3    3242    4099   1818
 15 0.028    1820   1176135       4    6248     946   1821
 16 0.085    1816   1174205       4    5332    7262   1826
 17 0.021    1820   1176641       7    3396     960   1824
 18 0.018    1819   1176540       8    5417    5518   1828
 19  0.01    1824   1178602       5    2440     378   1825
 20 0.011    1823   1175364       2    1237    4475   1826
 21 0.011    1819   1163710       3    2636   14290   1827
 22 0.004    1820   1164275       2    1836    1271   1822
 23  0.01    1816   1159336       1    1146    6085   1822
 24  0.01    1819   1165767       4    7848    1417   1821
 25 0.041    1838   1191713      20   27284    1338   1841
 26 0.035    1859   1210967      21   21951    2697   1862
 27 0.008    1862   1214023       3    3056       0   1862
 28 0.001    1862   1213935       1     249     337   1864
 29 0.021    1870   1217544       7    4662    1053   1871
 30 0.013    1868   1220751       5    4219    1012   1875
 31 0.002    1861   1215797       0       0    4954   1868
 32 0.007    1864   1218586       3    2806      17   1865
 33  0.01    1865   1220030       4    2998    1554   1869
 34 0.005    1855   1207707       1     421   12744   1866
 35 0.015    1858   1206304       6    6105    7508   1864
 36  0.01    1859   1208031       3    5534    3807   1862
 37 0.014    1856   1204733       3    5022    8320   1862
 38 0.018    1860   1212015       6    9353    2071   1862
 39 0.007    1860   1211566       4    1547    1996   1864
 40 0.008    1857   1207328       2     732    4970   1862
 41 0.007    1858   1208567       2    2852    1613   1859
 42 0.008    1856   1207222       1    1796    3141   1860
 43 0.017    1862   1215124       8    9211    1309   1864
 44 0.017    1864   1215143       3    1418    1399   1865
 45 0.011    1854   1207874       1     995    8264   1865
 46 0.013    1856   1211245       3    4418    1047   1857
 47  0.03    1856   1215870       6    7517    2892   1862
 48 0.009    1855   1215833       1    2689    2726   1858
 49 0.006    1856   1214344       5    2704    4193   1861
 50 0.001    1857   1212901       2     491    1934   1858
 51 0.009    1855   1211861       2    2831    3871   1859
 52 0.015    1863   1216624       8    4763       0   1864
 53  0.01    1858   1217149       3    3406    2881   1866
 54 0.004    1850   1208522       1    1236    9863   1859
 55 0.005    1848   1205242       1     546    3826   1851
 56 0.026    1852   1202991      11    9555   11806   1862
 57  0.01    1853   1203057       3    4278    4212   1856
